Season,Episode,Audience
1,1,2.22
2,1,3.86
3,1,4.37
4,1,6.64
5,1,8
6,1,7.94
1,2,2.2
2,2,3.76
3,2,4.27
4,2,6.31
5,2,6.81
6,2,7.29
1,3,2.44
2,3,3.77
3,3,4.72
4,3,6.59
5,3,6.71
6,3,7.28
1,4,2.45
2,4,3.65
3,4,4.87
4,4,6.95
5,4,6.82
6,4,7.82
1,5,2.58
2,5,3.9
3,5,5.35
4,5,7.16
5,5,6.56
6,5,7.89
1,6,2.44
2,6,3.88
3,6,5.5
4,6,6.4
5,6,6.24
6,6,6.71
1,7,2.4
2,7,3.69
3,7,4.84
4,7,7.2
5,7,5.4
6,7,7.8
1,8,2.72
2,8,3.86
3,8,5.13
4,8,7.17
5,8,7.01
6,8,7.6
1,9,2.66
2,9,3.38
3,9,5.22
4,9,6.95
5,9,7.14
6,9,7.66
1,10,3.04
2,10,4.2
3,10,5.39
4,10,7.09
5,10,8.11
6,10,8.89
